Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
   315	-1.06654e-05	-0.707	0.707
   316	-6.56461e-06	-0.707	0.707
   317	-7.05104e-06	-0.707	0.707
   318	-7.45601e-06	-0.707	0.707
   319	-8.12653e-06	-0.707	0.707
   320	-7.64515e-06	-0.707	0.707
   321	-9.5726e-06	-0.707	0.707
   322	-7.56953e-06	-0.707	0.707
   323	-7.77947e-06	-0.707	0.707
   324	-9.57659e-06	-0.707	0.707
   325	-8.11742e-06	-0.707	0.707
   326	-8.08043e-06	-0.707	0.707
   327	-7.95211e-06	-0.707	0.707
   328	-7.66092e-06	-0.707	0.707
   329	-1.05513e-05	-0.707	0.707
   330	-6.83277e-06	-0.707	0.707
   331	-9.65141e-06	-0.707	0.707
   332	-7.88181e-06	-0.707	0.707
   333	-1.03191e-05	-0.707	0.707
   334	-6.49342e-06	-0.707	0.707
   335	-7.09189e-06	-0.707	0.707
   336	-1.00404e-05	-0.707	0.707
   337	-9.17849e-06	-0.707	0.707
   338	-8.96275e-06	-0.707	0.707
   339	-8.21486e-06	-0.707	0.707
   340	-9.4885e-06	-0.707	0.707
   341	-1.09923e-05	-0.707	0.707
   342	-9.11704e-06	-0.707	0.707
   343	-9.43219e-06	-0.707	0.707
   344	-1.31014e-05	-0.707	0.707
   345	-7.79153e-06	-0.707	0.707
   346	-9.40302e-06	-0.707	0.707
   347	-7.56619e-06	-0.707	0.707
   348	-1.14171e-05	-0.707	0.707
   349	-8.31118e-06	-0.707	0.707
   350	-8.28363e-06	-0.707	0.707
   351	-6.93243e-06	-0.707	0.707
   352	-7.60237e-06	-0.707	0.707
   353	-7.63759e-06	-0.707	0.707
   354	-9.18841e-06	-0.707	0.707
   355	-7.39394e-06	-0.707	0.707
   356	-1.12177e-05	-0.707	0.707
   357	-9.00709e-06	-0.707	0.707
   358	-7.36463e-06	-0.707	0.707
   359	-7.16974e-06	-0.707	0.707
   360	-8.88706e-06	-0.707	0.707
   361	-6.84896e-06	-0.707	0.707
   362	-7.34702e-06	-0.707	0.707
   363	-7.59557e-06	-0.707	0.707
   364	-7.95166e-06	-0.707	0.707
   365	-7.65952e-06	-0.707	0.707
   366	-8.26564e-06	-0.707	0.707
   367	-9.41025e-06	-0.707	0.707
   368	-1.08744e-05	-0.707	0.707
   369	-1.05142e-05	-0.707	0.707
   370	-6.03756e-06	-0.707	0.707
   371	-8.13017e-06	-0.707	0.707
   372	-1.00374e-05	-0.707	0.707
   373	-6.31322e-06	-0.707	0.707
   374	-7.94247e-06	-0.707	0.707
   375	-8.67722e-06	-0.707	0.707
   376	-6.96274e-06	-0.707	0.707
   377	-5.76412e-06	-0.707	0.707
   378	-8.1476e-06	-0.707	0.707
   379	-8.16539e-06	-0.707	0.707
   380	-9.57118e-06	-0.707	0.707
   381	-8.81575e-06	-0.707	0.707
   382	-7.55089e-06	-0.707	0.707
   383	-9.31141e-06	-0.707	0.707
   384	-6.55727e-06	-0.707	0.707
   385	-5.35936e-06	-0.707	0.707
   386	-8.65627e-06	-0.707	0.707
   387	-8.89279e-06	-0.707	0.707
   388	-7.18761e-06	-0.707	0.707
   389	-8.55739e-06	-0.707	0.707
   390	-8.14673e-06	-0.707	0.707
   391	-8.48405e-06	-0.707	0.707
   392	-6.33136e-06	-0.707	0.707
   393	-7.8002e-06	-0.707	0.707
   394	-1.24979e-05	-0.707	0.707
   395	-1.0149e-05	-0.707	0.707
   396	-7.36465e-06	-0.707	0.707
   397	-8.02518e-06	-0.707	0.707
   398	-7.28299e-06	-0.707	0.707
   399	-6.27597e-06	-0.707	0.707
   400	-1.07161e-05	-0.707	0.707
   401	-9.22952e-06	-0.707	0.707
   402	-9.08245e-06	-0.707	0.707
   403	-5.75478e-06	-0.707	0.707
   404	-7.13309e-06	-0.707	0.707
   405	-9.17029e-06	-0.707	0.707
   406	-7.28617e-06	-0.707	0.707
   407	-6.96278e-06	-0.707	0.707
   408	-1.01619e-05	-0.707	0.707
   409	-7.38676e-06	-0.707	0.707
   410	-9.70697e-06	-0.707	0.707
   411	-6.49578e-06	-0.707	0.707
   412	-8.13509e-06	-0.707	0.707
   413	-5.92074e-06	-0.707	0.707
   414	-9.23338e-06	-0.707	0.707
