Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
   603	-2.25754e-06	-0.566	0.566
   604	-4.67597e-06	-0.566	0.566
   605	-2.10043e-06	-0.566	0.566
   606	-2.28571e-06	-0.566	0.566
   607	-3.15497e-06	-0.566	0.566
   608	-3.52989e-06	-0.566	0.566
   609	-6.18185e-06	-0.566	0.566
   610	-5.23935e-06	-0.566	0.566
   611	-4.23856e-06	-0.566	0.566
   612	-4.01088e-06	-0.566	0.566
   613	-2.47491e-06	-0.566	0.566
   614	-3.97851e-06	-0.566	0.566
   615	-3.6405e-06	-0.566	0.566
   616	-3.47995e-06	-0.566	0.566
   617	-5.29371e-06	-0.566	0.566
   618	-4.37069e-06	-0.566	0.566
   619	-5.41474e-06	-0.566	0.566
   620	-3.90934e-06	-0.566	0.566
   621	-3.38881e-06	-0.566	0.566
   622	-4.89703e-06	-0.566	0.566
   623	-5.31549e-06	-0.566	0.566
   624	-2.92892e-06	-0.566	0.566
   625	-3.58865e-06	-0.566	0.566
   626	-3.01471e-06	-0.566	0.566
   627	-3.45218e-06	-0.566	0.566
   628	-2.02425e-06	-0.566	0.566
   629	-6.72925e-06	-0.566	0.566
   630	-3.19766e-06	-0.566	0.566
   631	-4.87108e-06	-0.566	0.566
   632	-3.76271e-06	-0.566	0.566
   633	-2.16862e-06	-0.566	0.566
   634	-2.44799e-06	-0.566	0.566
   635	-4.59164e-06	-0.566	0.566
   636	-4.20442e-06	-0.566	0.566
   637	-3.33519e-06	-0.566	0.566
   638	-3.78112e-06	-0.566	0.566
   639	-3.30966e-06	-0.566	0.566
   640	-3.70215e-06	-0.566	0.566
   641	-3.25398e-06	-0.566	0.566
   642	-5.67157e-06	-0.566	0.566
   643	-3.4828e-06	-0.566	0.566
   644	-3.43938e-06	-0.566	0.566
   645	-2.7023e-06	-0.566	0.566
   646	-3.41614e-06	-0.566	0.566
   647	-4.67351e-06	-0.566	0.566
   648	-3.13318e-06	-0.566	0.566
   649	-3.43505e-06	-0.566	0.566
   650	-1.6553e-06	-0.566	0.566
   651	-3.3344e-06	-0.566	0.566
   652	-4.54439e-06	-0.566	0.566
   653	-2.43416e-06	-0.566	0.566
   654	-2.64215e-06	-0.566	0.566
   655	-4.44473e-06	-0.566	0.566
   656	-3.27655e-06	-0.566	0.566
   657	-2.8313e-06	-0.566	0.566
   658	-2.28009e-06	-0.566	0.566
   659	-2.74619e-06	-0.566	0.566
   660	-3.4677e-06	-0.566	0.566
   661	-2.39409e-06	-0.566	0.566
